Issue Type,Issue key,Issue id,Summary,Parent,Parent key,Parent summary,Priority,Status,Custom field (Story Points),Assignee,Assignee Id,Remaining Estimate,Time Spent,Sprint,Sprint.1,Sprint.2,Sprint.3,Sprint.4,Sprint.5,Sprint.6,Sprint.7,Sprint.8,Sprint.9,Sprint.10,Sprint.11,Sprint.12,Sprint.13,SP (Days),Rem (Secs),Spent (Secs),Rem (Days),Spent (Days),Calculated Rem (Days),Calculated Spent (Days)
Task,AWAMWRS-9265,3548130,[HK] Enhance WRE VC api for corporate client,3488197.0,AWAMWRS-9176,"[HK] Handling of Corporate Clients' all transaction including subscription, cash withdrawals, redemptions, and switching",Critical,To Do,3.0,Dylan,6042517281a8400068f38991,86400.0,0.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,3.0,,0.0,,0.0,3.0,0.0
Story,AWAMWRS-9223,3530334,[HK] Deploy enhanced ETL jobs for PNL,3530319.0,AWAMWRS-9222,[HK/Biz/Ops] To support iFUNDS Enhancement on BB4 dashboard - Phase Batch Updates / Data Loading 2026 Extension,High,Done,3.0,Dylan,6042517281a8400068f38991,0.0,86400.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,3.0,,0.0,,0.0,0.0,3.0
Story,AWAMWRS-9205,3502599,Checking why the country risk is empty,,,,TBD,Done,1.0,Louis,712020:4d5f11fe-a1af-4f5e-8313-baaacd68d147,0.0,28800.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,1.0,,0.0,,0.0,0.0,1.0
Story,AWAMWRS-9203,3502527,[PHOENIX-ID] Update password for shared folders,2604617.0,AWAMWRS-8244,[WRS] 2025-26 DR,TBD,In progress,1.0,Sunil,6281c0cbbdf2f30067d1f93a,28800.0,0.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,1.0,,0.0,,0.0,1.0,0.0
Task,AWAMWRS-9158,3456239,[HK] WRS/SG release 20260122,,,,TBD,To Do,2.0,Lishan,62ea83001323922c61e1ff04,57600.0,0.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,2.0,,0.0,,0.0,2.0,0.0
Story,AWAMWRS-9121,3410718,[HK] Review Tax Self Cert Form date / Address proof CTC received date,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,Critical,To Do,1.0,Stephen,712020:1b3c7415-dfe6-416d-8f93-dc64e9ff7c57,28800.0,0.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,1.0,,0.0,,0.0,1.0,0.0
Sub-task,AWAMWRS-9110,3407470,[HK/Phoenix] Not allow to conduct client's maintenance if there is a pending task of that client,1691012.0,AWAMWRS-5770,[HK/Phoenix] All in one maintenance implementation,Critical,Done,3.0,Faye,62d070fabb346bdf82faed3a,0.0,86400.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,3.0,,0.0,,0.0,0.0,3.0
Sub-task,AWAMWRS-9073,3337550,[HK/Phoenix] Change Client Maintenance to Maintenance in One Go,1691012.0,AWAMWRS-5770,[HK/Phoenix] All in one maintenance implementation,Critical,Done,8.0,Faye,62d070fabb346bdf82faed3a,0.0,230400.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,8.0,,0.0,,0.0,0.0,8.0
Sub-task,AWAMWRS-9072,3337546,[HK/Phoenix] Adding background color for the tab name that has any changed field,1691012.0,AWAMWRS-5770,[HK/Phoenix] All in one maintenance implementation,High,Done,3.0,Faye,62d070fabb346bdf82faed3a,0.0,86400.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,3.0,,0.0,,0.0,0.0,3.0
Story,AWAMWRS-8984,3232247,[HK/Phoenix] Enhance the UI of Individual and Corporate Account Tab,2406916.0,AWAMWRS-7996,[HK/Phoenix] Account Tab/Account Maintenance (Day 2 Data Fields/Process Enhancement ),Critical,To Do,5.0,Ricky,5f9f5acf81b2880078e15c88,144000.0,0.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,5.0,,0.0,,0.0,5.0,0.0
Sub-task,AWAMWRS-8957,3219970,Backend codebase walk through,3136836.0,AWAMWRS-8840,[HK/Phoenix] Unexpected display on the Values of Annual Income and Net Worth,High,Done,2.0,Louis,712020:4d5f11fe-a1af-4f5e-8313-baaacd68d147,0.0,57600.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,2.0,,0.0,,0.0,0.0,2.0
Sub-task,AWAMWRS-8867,3176512,Analyze the problem,3136836.0,AWAMWRS-8840,[HK/Phoenix] Unexpected display on the Values of Annual Income and Net Worth,High,Done,3.0,Louis,712020:4d5f11fe-a1af-4f5e-8313-baaacd68d147,0.0,86400.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,3.0,,0.0,,0.0,0.0,3.0
Sub-task,AWAMWRS-8866,3176508,Come up with a tech solution,3136836.0,AWAMWRS-8840,[HK/Phoenix] Unexpected display on the Values of Annual Income and Net Worth,High,Done,3.0,Louis,712020:4d5f11fe-a1af-4f5e-8313-baaacd68d147,0.0,86400.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,3.0,,0.0,,0.0,0.0,3.0
Story,AWAMWRS-8864,3175953,[HK] Loading all MOFA historical data from KFIN,3530319.0,AWAMWRS-9222,[HK/Biz/Ops] To support iFUNDS Enhancement on BB4 dashboard - Phase Batch Updates / Data Loading 2026 Extension,High,To Do,1.0,Grant,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,28800.0,0.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,1.0,,0.0,,0.0,1.0,0.0
Story,AWAMWRS-8840,3136836,[HK/Phoenix] Unexpected display on the Values of Annual Income and Net Worth,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,High,Done,8.0,Ricky,5f9f5acf81b2880078e15c88,0.0,230400.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,8.0,,0.0,,0.0,0.0,8.0
Task,AWAMWRS-8750,3071003,create recon part in mongo for wre and new wre,2700325.0,AWAMWRS-8345,[HK] Evergreen Migration (WRE refactoring),TBD,Done,5.0,Joey,62d06e192c801edc32859a3a,0.0,144000.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,5.0,,0.0,,0.0,0.0,5.0
Story,AWAMWRS-8747,3066041,[HK] CAP: Ensure Full Legal Name match Last time First Name format (Part 3),1791668.0,AWAMWRS-6422,[HK/Phoenix/Poseidon] Immediate Action on data fix for the CAP,Critical,To Do,5.0,Ricky,5f9f5acf81b2880078e15c88,144000.0,0.0,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,5.0,,0.0,,0.0,5.0,0.0
Sub-task,AWAMWRS-8739,3064618,[HK/Phoenix] add 100 length limit for Related PEP Name (For RCA only) (Max 100 char),2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,,Lishan,62ea83001323922c61e1ff04,0.0,0.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,0.0,,0.0,,0.0,0.0,0.0
Sub-task,AWAMWRS-8732,3040927,[HK/Phoenix] there are some issues on the Country Risk caused by the sequence of approval,2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,1.0,Lishan,62ea83001323922c61e1ff04,0.0,28800.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,1.0,,0.0,,0.0,0.0,1.0
Sub-task,AWAMWRS-8731,3040800,[HK/Phoenix] update Country Risk Rating in DB,2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,1.0,Lishan,62ea83001323922c61e1ff04,0.0,28800.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,1.0,,0.0,,0.0,0.0,1.0
Sub-task,AWAMWRS-8706,2992113,"[HK/Phoenix] update to wrap the ""Country Risk Attributes"" text",2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,1.0,Lishan,62ea83001323922c61e1ff04,0.0,28800.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,1.0,,0.0,,0.0,0.0,1.0
Sub-task,AWAMWRS-8661,2979890,[HK/Phoenix] update to use HK Time for checked Date,2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,1.0,Lishan,62ea83001323922c61e1ff04,0.0,28800.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,1.0,,0.0,,0.0,0.0,1.0
Sub-task,AWAMWRS-8626,2946377,[HK/Phoenix] frontend country risk attributes calculate issue for corporate client,2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,1.0,Lishan,62ea83001323922c61e1ff04,0.0,28800.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,1.0,,0.0,,0.0,0.0,1.0
Sub-task,AWAMWRS-8620,2941871,[HK/Phoenix] can not update related clients' countryRiskAttributes,2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,1.0,Lishan,62ea83001323922c61e1ff04,0.0,28800.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,1.0,,0.0,,0.0,0.0,1.0
Sub-task,AWAMWRS-8619,2941868,[HK/Phoenix] corporate's place of incorporation miss to calculate countryRiskAttributes ,2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,1.0,Lishan,62ea83001323922c61e1ff04,0.0,28800.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,1.0,,0.0,,0.0,0.0,1.0
Sub-task,AWAMWRS-8618,2935512,[HK/Phoenix] Incorrect Sequence of Historical Information of Correspondence Address,2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,1.0,Lishan,62ea83001323922c61e1ff04,0.0,28800.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,1.0,,0.0,,0.0,0.0,1.0
Sub-task,AWAMWRS-8615,2920627,[HK/Phoenix] PEP Issue -Unexpected alert pop up message under Display mode,2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,High,Done,1.0,Lishan,62ea83001323922c61e1ff04,0.0,28800.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,1.0,,0.0,,0.0,0.0,1.0
Sub-task,AWAMWRS-8614,2920609,[HK/Phoenix] PEP Issue -Country Risk Attributes and Country Risk values missing in display mode,2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,High,Done,2.0,Lishan,62ea83001323922c61e1ff04,0.0,57600.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,2.0,,0.0,,0.0,0.0,2.0
Story,AWAMWRS-8474,2816036,[SG] Identify potential breaks at the order or transaction level ,2758442.0,AWAMWRS-8367,[SG] Recon - Ops Transaction Monitoring,High,Validating,5.0,Lotus,62d07088c4c3be001fb5a380,144000.0,0.0,21 WRS.Sprint.2025.Oct.21,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,5.0,,0.0,,0.0,5.0,0.0
Sub-task,AWAMWRS-8450,2804955,[HK/Phoenix] Enhance the Phoenix B/E Logic of Individual and Corporate Client Profile Tab,2298859.0,AWAMWRS-7783,[HK/Phoenix] Day 2 Data Fields - Enhance Individual and Corporate Client Profile Tab,High,Done,3.0,Faye,62d070fabb346bdf82faed3a,0.0,86400.0,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,3.0,,0.0,,0.0,0.0,3.0
Sub-task,AWAMWRS-8449,2804815,[HK/Phoenix] Enhance the UI of Individual and Corporate Client Profile Tab,2298859.0,AWAMWRS-7783,[HK/Phoenix] Day 2 Data Fields - Enhance Individual and Corporate Client Profile Tab,Critical,Done,3.0,Faye,62d070fabb346bdf82faed3a,0.0,86400.0,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,3.0,,0.0,,0.0,0.0,3.0
Sub-task,AWAMWRS-8448,2804797,[HK/Phoenix] Show Age and Vulnerable Client,2298859.0,AWAMWRS-7783,[HK/Phoenix] Day 2 Data Fields - Enhance Individual and Corporate Client Profile Tab,High,Done,2.0,Faye,62d070fabb346bdf82faed3a,0.0,57600.0,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,2.0,,0.0,,0.0,0.0,2.0
