Issue Type,Issue key,Issue id,Summary,Parent,Parent key,Parent summary,Priority,Status,Custom field (Story Points),Assignee,Assignee Id,Remaining Estimate,Time Spent,Sprint,Sprint.1,Sprint.2,Sprint.3,Sprint.4,Sprint.5,Sprint.6,Sprint.7,Sprint.8,Sprint.9,Sprint.10,Sprint.11,Sprint.12,SP (Days),Rem (Secs),Spent (Secs),Rem (Days),Spent (Days),Calculated Rem (Days),Calculated Spent (Days)
Story,AWAMWRS-8149,2537679,UAT test for v3 change because of SCB upgrade,2537668.0,AWAMWRS-8145,[HK] 2026 SCB Banking System Upgrade,High,To Do,2.0,Dylan,6042517281a8400068f38991,57600.0,0.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,2.0,,0.0,,0.0,2.0,0.0
Story,AWAMWRS-8147,2537677,Develop in v3 for SCB upgrade,2537668.0,AWAMWRS-8145,[HK] 2026 SCB Banking System Upgrade,Critical,In progress,3.0,Dylan,6042517281a8400068f38991,86400.0,0.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,3.0,,0.0,,0.0,3.0,0.0
Enabler,AWAMWRS-8146,2537678,Prepare UAT Test Data for SCB upgrade,2537668.0,AWAMWRS-8145,[HK] 2026 SCB Banking System Upgrade,High,To Do,1.0,Dylan,6042517281a8400068f38991,28800.0,0.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,1.0,,0.0,,0.0,1.0,0.0
Task,AWAMWRS-9264,3548126,[HK] Enhance WRE transaction-fee api to allow corporate account,3488197.0,AWAMWRS-9176,"[HK] Handling of Corporate Clients' all transaction including subscription, cash withdrawals, redemptions, and switching",Critical,Validating,5.0,Dylan,6042517281a8400068f38991,57600.0,57600.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,5.0,57600.0,57600.0,2.0,2.0,2.0,2.0
Task,AWAMWRS-9265,3548130,[HK] Enhance WRE VC api for corporate client,3488197.0,AWAMWRS-9176,"[HK] Handling of Corporate Clients' all transaction including subscription, cash withdrawals, redemptions, and switching",Critical,Validating,3.0,Dylan,6042517281a8400068f38991,46800.0,18000.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,3.0,46800.0,18000.0,1.625,0.625,1.625,0.625
Task,AWAMWRS-9315,3581514,[HK] Enquiry the source of date column in dividend note and transaction,3457373.0,AWAMWRS-9161,[HK KLO] L3 Production Support 2026 Q1,Critical,Validating,2.0,Dylan,6042517281a8400068f38991,28800.0,46800.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,2.0,28800.0,46800.0,1.0,1.625,1.0,1.625
Task,AWAMWRS-9490,3701309,[HK] SCB upgrade impact analysis,2537668.0,AWAMWRS-8145,[HK] 2026 SCB Banking System Upgrade,Critical,Done,1.0,Dylan,6042517281a8400068f38991,0.0,28800.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,1.0,0.0,28800.0,0.0,1.0,0.0,1.0
Task,AWAMWRS-9414,3673856,[SG] Enhance ifund portfolio api for account total Pnl,2769319.0,AWAMWRS-8390,[SG] SG Small Enhancements Q1 2026,Critical,Done,3.0,Dylan,6042517281a8400068f38991,0.0,86400.0,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,3.0,0.0,50400.0,0.0,1.75,0.0,3.0
Task,AWAMWRS-9365,3628104,[HK] Data-patch to correct invalid RPQ answer,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,High,To Do,1.0,Ehsan,62d07096a94a6f9c0eff0ed7,28800.0,0.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,1.0,,0.0,,0.0,1.0,0.0
Task,AWAMWRS-9311,3574011,[HK] SOD job able to process corporate transaction,3488197.0,AWAMWRS-9176,"[HK] Handling of Corporate Clients' all transaction including subscription, cash withdrawals, redemptions, and switching",Critical,To Do,5.0,Ehsan,62d07096a94a6f9c0eff0ed7,144000.0,0.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,5.0,,0.0,,0.0,5.0,0.0
Task,AWAMWRS-9219,3523626,"[HK] Data clean up for ID CTC received date, Address CTC received date, Self Cert Form Received date",1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Document Lists and Client Profile for Individual and Corp,High,Validating,3.0,Ehsan,62d07096a94a6f9c0eff0ed7,7200.0,54000.0,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,3.0,7200.0,54000.0,0.25,1.875,0.25,1.875
Story,AWAMWRS-9366,3628108,[HK] Data-patch to insert missed answers for historic CQ or CQC,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,High,In progress,3.0,Ehsan,62d07096a94a6f9c0eff0ed7,5400.0,41400.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,3.0,5400.0,41400.0,0.1875,1.4375,0.1875,1.4375
Task,AWAMWRS-9406,3651392,[HK] Address CTC received date mismatch/missing,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,Critical,Validating,2.0,Ehsan,62d07096a94a6f9c0eff0ed7,1800.0,54000.0,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,2.0,1800.0,54000.0,0.0625,1.875,0.0625,1.875
Story,AWAMWRS-9493,3721141,[HK] 2026 Jan Wrap Fee collection,3457373.0,AWAMWRS-9161,[HK KLO] L3 Production Support 2026 Q1,Critical,Done,2.0,Ehsan,62d07096a94a6f9c0eff0ed7,0.0,57600.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,2.0,0.0,14400.0,0.0,0.5,0.0,2.0
Task,AWAMWRS-9479,3689756,[HK] Problems for Automated Emails for KYC Reactivation 202602,3530385.0,AWAMWRS-9224,[HK] KYC Enhancement 2026 Follow Up Q1,High,In progress,5.0,Ezekiel,712020:666725b3-c6c2-46e6-8010-4a417a554ce1,57600.0,86400.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,5.0,57600.0,86400.0,2.0,3.0,2.0,3.0
Task,AWAMWRS-9171,3464416,[HK] Missing Status Change Notifications for Accounts After EEE Fund Termination Corporate Action,3530385.0,AWAMWRS-9224,[HK] KYC Enhancement 2026 Follow Up Q1,TBD,Validating,2.0,Ezekiel,712020:666725b3-c6c2-46e6-8010-4a417a554ce1,28800.0,57600.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,2.0,28800.0,57600.0,1.0,2.0,1.0,2.0
Story,AWAMWRS-9413,3673813,[HK] WRS Phoenix - Fix missing warning checking per existing active pending task ,3410301.0,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,Critical,Done,2.0,Faye,62d070fabb346bdf82faed3a,0.0,57600.0,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,2.0,28800.0,28800.0,1.0,1.0,0.0,2.0
Story,AWAMWRS-9343,3607440,[HK/Phoenix] Change Address Proof CTC Received Date in UI to Display Only in Client Profile and Update in Document List Tab,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Document Lists and Client Profile for Individual and Corp,High,In progress,3.0,Faye,62d070fabb346bdf82faed3a,28800.0,0.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,3.0,28800.0,0.0,1.0,0.0,1.0,0.0
Story,AWAMWRS-9339,3603143,[HK/Phoenix] Remove the original value and highlight for RPQ tab in maintenance in one go and RPQ-reassessments,3581294.0,AWAMWRS-9312,[HK/Phoenix] Support to including all tabs in one maintenance or tab maintenance separately,High,Validating,3.0,Faye,62d070fabb346bdf82faed3a,28800.0,57600.0,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,3.0,28800.0,57600.0,1.0,2.0,1.0,2.0
Story,AWAMWRS-9103,3386547,[HK/Phoenix] Amend the UI of Account Level Documents under edit mode of Individual Maintenance,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Document Lists and Client Profile for Individual and Corp,TBD,Validating,8.0,Faye,62d070fabb346bdf82faed3a,28800.0,201600.0,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,8.0,28800.0,201600.0,1.0,7.0,1.0,7.0
Story,AWAMWRS-7783,2298859,[HK/Phoenix] Day 2 Data Fields - Enhance Individual and Corporate Client Profile Tab,1767029.0,AWAMWRS-6257,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Phoenix Client Profile Tab Fields Update​,Critical,Validating,19.0,Faye,62d070fabb346bdf82faed3a,28800.0,604800.0,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,19.0,28800.0,604800.0,1.0,21.0,1.0,21.0
Story,AWAMWRS-9012,3239984,[HK/Phoenix] Individual - Create the UI of Individual Client Document List Tab,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Document Lists and Client Profile for Individual and Corp,High,Validating,5.0,Faye,62d070fabb346bdf82faed3a,14400.0,144000.0,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,5.0,14400.0,144000.0,0.5,5.0,0.5,5.0
Story,AWAMWRS-8658,2965781,[HK/Phoenix] Individual onboarding and maintenance - Enhance the Phoenix B/E Logic  to support ,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Document Lists and Client Profile for Individual and Corp,High,Validating,5.0,Faye,62d070fabb346bdf82faed3a,14400.0,144000.0,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,5.0,14400.0,144000.0,0.5,5.0,0.5,5.0
Story,AWAMWRS-5770,1691012,[HK/Phoenix] All in one maintenance implementation,3581294.0,AWAMWRS-9312,[HK/Phoenix] Support to including all tabs in one maintenance or tab maintenance separately,Critical,In progress,25.0,Faye,62d070fabb346bdf82faed3a,14400.0,705600.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,25.0,14400.0,705600.0,0.5,24.5,0.5,24.5
Story,AWAMWRS-7993,2406890,[HK/Phoenix] Implement Document List Read-Only Mode with Historical Data Access,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Document Lists and Client Profile for Individual and Corp,Critical,Validating,1.0,Faye,62d070fabb346bdf82faed3a,7200.0,28800.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,1.0,7200.0,28800.0,0.25,1.0,0.25,1.0
Task,AWAMWRS-9226,3530761,[HK] Refresh CDC tables on PROD for Pnl new columns ,3530319.0,AWAMWRS-9222,[HK/Biz/Ops] To support iFUNDS Enhancement on BB4 dashboard - Phase Batch Updates / Data Loading 2026 Extension,High,To Do,3.0,Grant,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,86400.0,0.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,3.0,,0.0,,0.0,3.0,0.0
Task,AWAMWRS-9375,3633704,[SG] Add filter in reinvestment creation for duplication records,2769319.0,AWAMWRS-8390,[SG] SG Small Enhancements Q1 2026,Critical,In progress,3.0,Grant,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,68400.0,25200.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,3.0,68400.0,25200.0,2.375,0.875,2.375,0.875
Task,AWAMWRS-8917,3194425,[SG] Update client source of wealth choice list,3679912.0,AWAMWRS-9418,[SG] 2026 Account opening enhancement to support M360,High,Validating,1.0,Grant,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,14400.0,43200.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,1.0,14400.0,43200.0,0.5,1.5,0.5,1.5
Task,AWAMWRS-9377,3633744,[HK] Get portfolio client level data double count issue,3410301.0,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,High,Done,3.0,Grant,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,0.0,86400.0,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,3.0,0.0,68400.0,0.0,2.375,0.0,3.0
Task,AWAMWRS-8916,3194393,[SG] Support new type of source of funds,3679912.0,AWAMWRS-9418,[SG] 2026 Account opening enhancement to support M360,High,Validating,3.0,Grant,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,0.0,14400.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,3.0,0.0,14400.0,0.0,0.5,0.0,0.5
Task,AWAMWRS-9434,3688508,WRS Release 26-Feb,,,,TBD,To Do,3.0,Harshini,712020:2bc93c6c-2a03-420c-8e96-3f81191898a1,86400.0,0.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,3.0,,0.0,,0.0,3.0,0.0
Story,AWAMWRS-9173,3474283,[HK/PHOENIX] Investigate and fix incorrect population of Custom Annual Income field,3410301.0,AWAMWRS-9115,[HK/WRS] 2026 Production Fix Q1,Low,Validating,3.0,Harshini,712020:2bc93c6c-2a03-420c-8e96-3f81191898a1,28800.0,115200.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,3.0,28800.0,115200.0,1.0,4.0,1.0,4.0
Story,AWAMWRS-9056,3300634,[HK] WRS Phoenix - Enhance validation for custom net worth value.,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,Low,Validating,3.0,Harshini,712020:2bc93c6c-2a03-420c-8e96-3f81191898a1,7200.0,79200.0,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,3.0,7200.0,79200.0,0.25,2.75,0.25,2.75
Task,AWAMWRS-9378,3634012,[SG] Phoenix-SG able to include all expect transaction types,2769319.0,AWAMWRS-8390,[SG] SG Small Enhancements Q1 2026,High,To Do,5.0,Harshini,712020:2bc93c6c-2a03-420c-8e96-3f81191898a1,144000.0,0.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,5.0,0.0,14400.0,0.0,0.5,5.0,0.0
Story,AWAMWRS-7990,2406886,[HK/Phoenix] Enhance the Existing V3 Post and Patch Clients API to Support kyc Alignment,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Document Lists and Client Profile for Individual and Corp,High,To Do,5.0,Lishan,62ea83001323922c61e1ff04,144000.0,0.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,5.0,144000.0,0.0,5.0,0.0,5.0,0.0
Story,AWAMWRS-9258,3538802,[HK/Phoenix] create new table for document types,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Document Lists and Client Profile for Individual and Corp,High,Validating,5.0,Lishan,62ea83001323922c61e1ff04,21600.0,122400.0,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,,,,,,,5.0,21600.0,122400.0,0.75,4.25,0.75,4.25
Task,AWAMWRS-9488,3701166,[HK] Tech-Sync Non MOFA clients' education level from RPQ to clients table,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,TBD,In progress,2.0,Lishan,62ea83001323922c61e1ff04,7200.0,50400.0,03 WRS.Sprint.2026.Feb.27,,,,,,,,,,,,,2.0,7200.0,50400.0,0.25,1.75,0.25,1.75
Story,AWAMWRS-7920,2387101,[HK/Phoenix] Client Red Flag/PEP/Country Risk Form’s Backend (Get/Patch),1879943.0,AWAMWRS-6972,[HK/Phoenix] Day 2 Data Fields/Process Enhancement - Red Flag PEP/Country Risk,High,Validating,8.0,Lishan,62ea83001323922c61e1ff04,7200.0,0.0,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,02 WRS.Sprint.2026.Feb.6,03 WRS.Sprint.2026.Feb.27,8.0,7200.0,0.0,0.25,0.0,0.25,0.0
